,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,0,0,0,0,0
2,3,0,0,0,0,0
3,4,0,0,0,0,0
4,5,0,0,0,0,0
5,6,0,0,0,0,0
6,7,0,0,0,0,0
7,8,0,0,0,0,0
8,9,0,0,0,0,0
9,10,0,0,0,0,0
10,11,0,0,0,0,0
11,12,0,0,0,0,0
12,13,0,0,0,0,0
13,14,1,0,0,0,0
14,15,1,0,0,0,0
15,16,1,0,0,0,0
16,17,1,0,0,0,0
17,18,2,0,0,0,0
18,19,2,0,0,0,0
19,20,2,0,0,0,0
20,21,2,0,0,0,0
21,22,2,0,0,0,0
22,23,2,0,0,0,0
23,24,2,0,0,0,0
24,25,2,0,0,0,0
25,26,2,0,0,0,0
26,27,2,0,0,0,0
27,28,2,0,0,0,0
28,29,2,0,0,0,0
29,30,2,0,0,0,0
30,31,2,0,0,0,1
31,32,2,0,0,0,1
32,33,2,0,0,0,1
33,34,2,0,0,0,1
34,35,2,0,0,0,2
35,36,2,0,0,0,2
36,37,2,0,0,0,2
37,38,2,0,0,0,2
38,39,3,0,0,0,2
39,40,3,0,0,0,2
40,41,3,0,0,0,2
41,42,3,0,0,0,2
42,43,3,0,0,0,2
43,44,3,0,0,0,2
44,45,3,0,0,0,2
45,46,3,0,0,0,2
46,47,3,0,0,0,2
47,48,3,0,0,0,2
48,49,3,0,0,0,2
49,50,3,0,0,0,2
50,51,3,0,0,0,2
51,52,3,0,0,0,2
52,53,3,0,0,0,2
53,54,3,0,0,0,2
54,55,3,0,0,0,3
55,56,3,0,0,0,3
56,57,3,0,0,0,3
57,58,3,0,0,0,3
58,59,3,0,0,0,3
59,60,3,0,0,0,3
60,61,3,0,0,0,3
61,62,3,0,0,0,3
62,63,3,0,0,0,3
63,64,3,0,0,0,3
64,65,3,0,0,0,3
65,66,3,0,0,0,3
66,67,3,0,0,0,3
67,68,3,0,0,0,3
68,69,3,0,0,0,3
69,70,3,0,0,0,3
70,71,3,0,0,0,3
71,72,3,0,0,0,3
72,73,3,0,0,0,4
73,74,3,0,0,0,4
74,75,3,0,0,0,4
75,76,3,0,0,0,4
76,77,3,0,0,0,4
77,78,3,0,0,0,4
78,79,3,0,0,0,4
79,80,4,0,0,0,4
80,81,4,0,0,0,4
81,82,4,0,0,0,4
82,83,4,0,0,0,4
83,84,4,0,0,0,4
84,85,4,0,0,0,4
85,86,4,0,0,0,4
86,87,4,0,0,0,4
87,88,4,0,0,0,4
88,89,4,0,0,0,4
89,90,4,0,0,0,4
90,91,4,0,0,0,4
91,92,4,0,0,0,4
92,93,4,0,0,0,4
93,94,4,0,0,0,4
94,95,4,0,0,0,4
95,96,4,0,0,0,4
96,97,4,0,0,0,4
97,98,4,0,0,0,4
98,99,4,0,0,0,4
99,100,4,0,0,0,4
