,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,0,0,0,0,0
2,3,0,0,0,0,0
3,4,0,0,0,0,0
4,5,0,0,0,0,0
5,6,0,0,0,0,0
6,7,0,0,0,0,0
7,8,0,0,0,0,0
8,9,0,0,0,0,0
9,10,0,0,0,0,0
10,11,0,0,0,0,0
11,12,0,0,0,0,0
12,13,0,0,0,0,0
13,14,0,0,0,0,0
14,15,0,0,0,0,0
15,16,1,0,0,0,0
16,17,1,0,0,0,0
17,18,1,0,0,0,0
18,19,1,0,0,0,0
19,20,1,0,0,0,0
20,21,1,0,0,0,0
21,22,1,0,0,0,0
22,23,1,0,0,0,0
23,24,1,0,0,0,0
24,25,1,0,0,0,0
25,26,1,0,0,0,0
26,27,1,0,0,0,0
27,28,2,0,0,0,0
28,29,3,0,0,0,0
29,30,3,0,0,0,0
30,31,3,0,0,0,0
31,32,3,0,0,0,0
32,33,3,0,0,0,0
33,34,3,0,0,0,0
34,35,3,0,0,0,0
35,36,3,0,0,0,0
36,37,3,0,0,0,0
37,38,3,0,0,0,0
38,39,4,0,0,0,0
39,40,4,0,0,0,0
40,41,4,0,0,0,0
41,42,4,0,0,0,0
42,43,4,0,0,0,0
43,44,4,0,0,0,0
44,45,4,0,0,0,0
45,46,4,0,0,0,0
46,47,4,0,0,0,0
47,48,4,0,0,0,0
48,49,4,0,0,0,0
49,50,4,0,0,0,2
50,51,4,0,0,0,2
51,52,4,0,0,0,2
52,53,4,0,0,0,2
53,54,4,0,0,0,2
54,55,4,0,0,0,2
55,56,4,0,0,0,3
56,57,4,0,0,0,3
57,58,4,0,0,0,3
58,59,4,0,0,0,3
59,60,4,0,0,0,3
60,61,4,0,0,0,3
61,62,4,0,0,0,3
62,63,4,0,0,0,3
63,64,4,0,0,0,3
64,65,4,0,0,0,3
65,66,4,0,0,0,3
66,67,4,0,0,0,4
67,68,4,0,0,0,4
68,69,4,0,0,0,4
69,70,4,0,0,0,4
70,71,4,0,0,0,4
71,72,4,0,0,0,4
72,73,4,0,0,0,4
73,74,4,0,0,0,4
74,75,4,0,0,0,4
75,76,4,0,0,0,4
76,77,4,0,0,0,4
77,78,4,0,0,0,4
78,79,4,0,0,0,4
79,80,4,0,0,0,4
80,81,5,0,0,0,4
81,82,5,0,0,0,4
82,83,5,0,0,0,4
83,84,5,0,0,0,4
84,85,5,0,0,0,4
85,86,5,0,0,0,4
86,87,5,0,0,0,4
87,88,5,1,0,0,4
88,89,5,1,0,0,4
89,90,5,1,0,0,4
90,91,5,1,0,0,4
91,92,5,1,0,0,4
92,93,5,1,0,0,4
93,94,5,1,0,0,4
94,95,5,1,0,0,4
95,96,5,1,0,0,4
96,97,5,1,0,0,4
97,98,6,1,0,0,4
98,99,6,1,0,0,4
99,100,6,1,0,0,4
