,step,adult,child,limited_mobility,elder,employee
0,1,0,0,0,0,0
1,2,0,0,0,0,0
2,3,0,0,0,0,0
3,4,0,0,0,0,0
4,5,0,0,0,0,0
5,6,0,0,0,0,0
6,7,0,0,0,0,0
7,8,0,0,0,0,0
8,9,0,0,0,0,0
9,10,0,0,0,0,0
10,11,0,0,0,0,0
11,12,0,0,0,0,0
12,13,0,0,0,0,0
13,14,0,0,0,0,0
14,15,0,0,0,0,0
15,16,0,0,0,0,1
16,17,0,0,0,0,1
17,18,0,0,0,0,1
18,19,0,0,0,0,1
19,20,0,0,0,0,1
20,21,0,0,0,0,1
21,22,0,0,0,0,1
22,23,0,0,0,0,1
23,24,1,0,0,0,1
24,25,1,0,0,0,2
25,26,1,0,0,0,2
26,27,1,0,0,0,3
27,28,1,0,0,0,3
28,29,1,0,0,0,3
29,30,1,0,0,0,3
30,31,2,0,0,0,3
31,32,3,0,0,0,3
32,33,3,0,0,0,3
33,34,3,0,0,0,3
34,35,4,0,0,0,3
35,36,4,0,0,0,3
36,37,4,0,0,0,3
37,38,4,0,0,1,3
38,39,4,0,0,1,3
39,40,4,0,0,1,3
40,41,4,0,0,1,3
41,42,4,0,0,1,3
42,43,4,0,0,1,3
43,44,4,0,0,1,3
44,45,4,0,0,1,3
45,46,4,0,0,1,3
46,47,4,0,0,1,3
47,48,4,0,0,1,3
48,49,4,0,0,1,3
49,50,4,0,0,1,3
50,51,4,0,0,1,3
51,52,4,0,0,1,3
52,53,4,0,0,1,3
53,54,4,0,0,1,3
54,55,4,0,0,1,3
55,56,4,0,0,1,3
56,57,4,0,0,1,3
57,58,4,0,0,1,4
58,59,4,0,0,1,4
59,60,4,0,0,1,4
60,61,4,0,0,1,4
61,62,4,0,0,1,4
62,63,4,0,0,1,4
63,64,4,0,0,1,4
64,65,4,0,0,1,4
65,66,4,0,0,1,4
66,67,4,0,0,1,4
67,68,4,0,0,1,4
68,69,4,0,0,1,4
69,70,4,0,0,1,4
70,71,4,0,0,1,4
71,72,4,0,0,1,4
72,73,4,0,0,1,4
73,74,4,0,0,1,4
74,75,4,0,0,1,4
75,76,4,0,0,1,4
76,77,4,0,0,1,4
77,78,4,0,0,1,4
78,79,5,0,0,1,4
79,80,6,1,0,1,4
80,81,6,1,0,1,4
81,82,6,1,0,1,4
82,83,6,1,0,1,4
83,84,6,1,0,1,4
84,85,6,1,0,1,4
85,86,6,1,0,1,4
86,87,6,1,0,1,4
87,88,6,1,0,1,4
88,89,6,1,0,1,4
89,90,6,1,0,1,4
90,91,6,1,0,1,4
91,92,6,1,0,1,4
92,93,6,1,0,1,4
93,94,6,1,0,1,4
94,95,6,1,0,1,4
95,96,6,1,0,1,4
96,97,6,1,0,1,4
97,98,6,1,0,1,4
98,99,6,1,0,1,4
99,100,6,1,0,1,4
